"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.720714077E0,-7.827949524E-1,-2.179712772E0,7.212935686E-1,2.425732904E0
1.728770575E0,-7.859530449E-1,-1.982516766E0,8.059275150E-1,2.279827641E0
1.736796556E0,-6.806788445E-1,-1.951162815E0,8.491528034E-1,2.234148720E0
1.744822539E0,-6.970405579E-1,-1.762746811E0,5.396798849E-1,1.970887170E0
1.752848520E0,-5.195512772E-1,-1.674410343E0,4.927626848E-1,1.821098183E0
1.760905018E0,-2.962055206E-1,-1.568924904E0,4.236509800E-1,1.651890801E0
1.768930999E0,-1.216969490E-1,-1.511618137E0,4.234262705E-1,1.574512416E0
1.776956980E0,-1.189250946E-1,-1.398881912E0,5.292041302E-1,1.500356889E0
1.784982962E0,1.847553253E-2,-1.259074211E0,7.915747166E-1,1.487346545E0
1.793039460E0,3.782272339E-2,-1.177992821E0,7.287693024E-1,1.385713657E0
1.801065442E0,8.125972748E-2,-1.060712814E0,8.438293934E-1,1.357852298E0
1.809091423E0,-3.982400894E-2,-1.018410206E0,6.649188995E-1,1.216906916E0
1.817147922E0,5.389690399E-2,-9.204735756E-1,6.223981380E-1,1.112454908E0
1.825173903E0,4.384422302E-2,-7.240467072E-1,5.189054012E-1,8.918681323E-1
1.833199884E0,9.410047531E-2,-5.367450714E-1,3.115525246E-1,6.277062583E-1
1.841225866E0,1.437330246E-1,-3.703122139E-1,2.716925144E-1,4.812557953E-1
1.849282363E0,2.250576019E-1,-3.035192490E-1,1.960675716E-1,4.256963135E-1
1.857308345E0,9.761381149E-2,-1.993770599E-1,-5.475759506E-3,2.220577676E-1
1.865334327E0,2.315211296E-1,-1.027078629E-1,2.940294743E-1,3.880776601E-1
1.873360308E0,3.190517426E-1,-1.509413719E-1,5.463482141E-1,6.504411451E-1
1.881386290E0,1.684513092E-1,-1.519179344E-1,5.546715260E-1,5.992623833E-1
1.889442787E0,-8.450698853E-2,-1.436085701E-1,4.695800543E-1,4.982672776E-1
1.897468769E0,-3.572778702E-1,-1.809825897E-1,3.643631935E-1,5.414450213E-1
1.905494750E0,-5.862283707E-1,-3.075222969E-1,2.467294931E-1,7.064765449E-1
1.913520731E0,-7.085585594E-1,-4.000930786E-1,2.522844076E-1,8.519255402E-1
1.921577230E0,-6.991109848E-1,-4.763898849E-1,3.903592825E-1,9.317101808E-1
1.929603211E0,-5.511074066E-1,-5.671901703E-1,5.428891182E-1,9.592458796E-1
1.937629193E0,-3.439331055E-1,-5.221061707E-1,7.202167511E-1,9.537279502E-1
1.945685691E0,-9.673309326E-2,-5.017223358E-1,8.774888515E-1,1.015415815E0
1.953711673E0,1.357212067E-1,-5.182044506E-1,9.607024193E-1,1.099956925E0
1.961737654E0,3.890428543E-1,-4.838273525E-1,1.338551760E0,1.475521624E0
1.969794152E0,4.444122314E-1,-3.956110477E-1,1.420819759E0,1.540369800E0
1.977820134E0,3.909692764E-1,-3.550972939E-1,1.160135984E0,1.274702540E0
1.985846115E0,3.433465958E-1,-2.347187996E-1,8.880732059E-1,9.806394948E-1
1.993902613E0,2.466106415E-1,-1.456000805E-1,6.059629917E-1,6.702293184E-1
2.001928595E0,2.200765610E-1,-1.336872578E-1,3.909146786E-1,4.681028322E-1
2.009954576E0,2.834043503E-1,-1.591434479E-1,4.138476849E-1,5.262267278E-1
2.017980557E0,4.103994370E-1,-1.751592159E-1,6.370148659E-1,7.777508522E-1
2.026037056E0,5.867815018E-1,-2.654221058E-1,8.815851212E-1,1.091766344E0
2.034063037E0,7.596855164E-1,-2.773334980E-1,1.206553459E0,1.452517540E0
2.042089019E0,1.026315689E0,-1.859097481E-1,1.477375984E0,1.808459601E0
2.050145517E0,1.257272720E0,-1.456098557E-1,1.599725008E0,2.039866913E0
2.058171499E0,1.430989265E0,-1.499366760E-2,1.570345640E0,2.124603614E0
2.066197480E0,1.575490952E0,1.834208965E-1,1.345759392E0,2.080116176E0
2.074253978E0,1.805981636E0,3.901555538E-1,1.091629505E0,2.146030289E0
2.082279959E0,2.173322678E0,5.219807625E-1,8.532378674E-1,2.392448586E0
2.090305940E0,2.512105942E0,6.905372143E-1,8.049995899E-1,2.726819071E0
2.098331923E0,2.574675560E0,7.352774143E-1,7.567863464E-1,2.782501157E0
2.106388420E0,2.503628731E0,6.595919132E-1,6.926031113E-1,2.680096525E0
2.114414402E0,2.351069450E0,5.329592228E-1,6.423306465E-1,2.494826999E0
2.122440383E0,2.150177956E0,5.054535866E-1,6.450824738E-1,2.301060618E0
2.130466364E0,2.067452431E0,4.292557240E-1,6.413288116E-1,2.206790129E0
2.138522863E0,2.098520279E0,3.240818977E-1,6.218869686E-1,2.212591205E0
2.146548844E0,1.747035980E0,6.915807724E-3,1.126537323E-1,1.750677985E0
2.154574826E0,1.659196854E0,2.607414722E-1,2.698123455E-1,1.701093477E0
2.162600807E0,1.920282364E0,6.838171482E-1,2.259001732E-1,2.050883014E0
2.170657306E0,2.140079975E0,5.261948109E-1,1.135787964E-1,2.206744983E0
2.178683287E0,2.129949093E0,2.169237137E-1,3.773841858E-1,2.173972829E0
2.186709268E0,1.854345798E0,4.494733810E-1,7.044777870E-1,2.033940415E0
2.194735250E0,1.576136112E0,4.939956665E-1,7.795629501E-1,1.826459733E0
2.202791747E0,1.260771751E0,3.548483849E-1,7.847232819E-1,1.526844267E0
2.210817729E0,1.256554604E0,1.898345947E-1,8.371477127E-1,1.521769673E0
2.218843711E0,1.313476086E0,2.064747810E-1,1.111371994E0,1.732916320E0
2.226869692E0,1.528012753E0,2.814421654E-1,1.311560631E0,2.033279113E0
2.234926190E0,1.722052097E0,3.264813423E-1,1.272152424E0,2.165738969E0
2.242952171E0,1.876492500E0,3.371000290E-1,1.048938274E0,2.176035854E0
2.250978153E0,2.058722496E0,4.261236191E-1,1.020761013E0,2.337064976E0
2.259004134E0,2.167457581E0,4.630165100E-1,8.202571869E-1,2.363277069E0
2.267060633E0,2.332915783E0,3.296127319E-1,6.149334908E-1,2.435012074E0
2.275086614E0,2.569260120E0,1.267714500E-1,6.524214745E-1,2.653831635E0
2.283112595E0,2.841248512E0,1.461529732E-1,7.031245232E-1,2.930603674E0
2.291138577E0,3.155118942E0,2.038555145E-1,8.562731743E-1,3.275597100E0
2.299195075E0,3.380230427E0,1.787104607E-1,7.783551216E-1,3.473288336E0
2.307221057E0,3.472833633E0,7.628440857E-2,6.092619896E-1,3.526697170E0
2.315247038E0,3.493423462E0,-1.041245461E-1,3.500828743E-1,3.512464580E0
2.323273019E0,3.388618469E0,-2.412848473E-1,3.641080856E-2,3.397393009E0
2.331329518E0,3.179833889E0,-3.818287849E-1,-2.724852562E-1,3.214247190E0
2.339355499E0,2.964513779E0,-5.411901474E-1,-2.457470894E-1,3.023511262E0
2.347381481E0,3.330725670E0,-8.630414009E-1,-8.282804489E-2,3.441719691E0
2.355407462E0,3.138347149E0,-1.106122494E0,-5.423574448E-1,3.371480594E0
2.363433443E0,2.478523731E0,-2.585577965E-1,-6.943268776E-1,2.586894245E0
2.371489941E0,2.339639664E0,1.329259872E-1,-8.590974808E-1,2.495922987E0
2.379515922E0,2.469681501E0,-1.621274948E-1,-8.146262169E-1,2.605614691E0
2.387541904E0,2.653376818E0,-7.479672432E-1,-7.660870552E-1,2.861250235E0
2.395567885E0,2.750642300E0,-8.938069344E-1,-4.767098427E-1,2.931241404E0
2.403593867E0,2.542872667E0,-1.190626621E0,-7.906284332E-1,2.916999567E0
2.411650365E0,2.301243305E0,-9.899206161E-1,6.503105164E-3,2.505135898E0
2.419676346E0,1.951504588E0,-8.122191429E-1,1.867294312E-3,2.113781819E0
2.427702328E0,2.072434902E0,-1.005734444E0,6.129021645E-1,2.383723402E0
2.435728309E0,1.751420498E0,-9.171562195E-1,4.446167946E-1,2.026408988E0
2.443784808E0,1.979191780E0,-1.004962921E0,4.825301170E-1,2.271560232E0
2.451810789E0,2.369006395E0,-1.465040684E0,2.700223923E-1,2.798472369E0
2.459836770E0,3.010451317E0,-2.040227413E0,2.419190407E-1,3.644704357E0
2.467862752E0,2.716837883E0,-1.542148590E0,-1.565876007E-1,3.127930631E0
2.475888733E0,3.036345005E0,-1.765547752E0,-3.167519569E-1,3.526596328E0
2.483945232E0,2.763281584E0,-1.596563339E0,-2.706079483E-1,3.202806312E0
2.491971213E0,2.376162529E0,-1.393008232E0,-7.280912399E-1,2.848988795E0
2.499997194E0,2.239881754E0,-1.438019276E0,-8.503065109E-1,2.794278238E0
2.508023176E0,2.061982870E0,-1.352008820E0,-9.230799675E-1,2.632826966E0
2.516079673E0,1.725345850E0,-1.238073349E0,-9.101328850E-1,2.310408143E0
