"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.028296374E2,6.506100226E1,2.546737117E1,1.551475162E1,3.300000000E1,0.000000000E0,NaN,1.060911335E-1,2.000000000E0,3.000000000E0,2.600000000E1
1.038279281E2,6.506101273E1,2.546741677E1,1.651475273E1,3.400000000E1,6.800000072E-1,1.081999969E2,1.073736330E-1,2.000000000E0,3.000000000E0,2.600000000E1
1.048387504E2,6.506101634E1,2.546744275E1,1.651475426E1,3.400000000E1,1.039999962E0,7.669999695E1,1.092403919E-1,2.000000000E0,3.000000000E0,2.200000000E1
1.058326153E2,6.506102275E1,2.546747955E1,1.551475594E1,3.300000000E1,9.599999785E-1,6.120000076E1,1.109879978E-1,1.500000000E0,2.000000000E0,2.900000000E1
1.068369764E2,6.506102916E1,2.546751358E1,1.551475730E1,3.300000000E1,1.029999971E0,6.250000000E1,1.125341014E-1,1.500000000E0,2.000000000E0,3.200000000E1
1.078337955E2,6.506103289E1,2.546754534E1,1.551475943E1,3.300000000E1,1.000000000E0,6.919999695E1,1.140245860E-1,2.000000000E0,3.000000000E0,2.500000000E1
1.088359986E2,6.506103239E1,2.546757711E1,1.451476318E1,3.200000000E1,7.400000095E-1,6.430000305E1,1.148688022E-1,2.000000000E0,3.000000000E0,2.500000000E1
1.098255007E2,6.506103558E1,2.546759346E1,1.351476380E1,3.100000000E1,8.499999642E-1,7.169999695E1,1.157361863E-1,2.000000000E0,3.000000000E0,2.300000000E1
1.108352097E2,6.506103700E1,2.546761164E1,1.251476529E1,3.000000000E1,7.299999595E-1,7.059999847E1,1.165510617E-1,2.000000000E0,3.000000000E0,2.400000000E1
1.118384900E2,6.506104148E1,2.546762539E1,1.051476512E1,2.800000000E1,5.500000119E-1,6.659999847E1,1.169640410E-1,2.000000000E0,3.000000000E0,2.300000000E1
1.128326185E2,6.506104513E1,2.546762707E1,8.514763917E0,2.600000000E1,5.799999833E-1,6.980000305E1,1.183632509E-1,1.500000000E0,2.000000000E0,2.500000000E1
1.138271081E2,6.506105238E1,2.546765146E1,7.514763883E0,2.500000000E1,8.499999642E-1,5.350000000E1,1.196353175E-1,2.000000000E0,3.000000000E0,2.300000000E1
1.148331798E2,6.506106248E1,2.546766420E1,7.514761456E0,2.500000000E1,6.800000072E-1,4.820000076E1,1.205758830E-1,2.000000000E0,3.000000000E0,2.300000000E1
1.158226130E2,6.506106864E1,2.546767795E1,7.514760645E0,2.500000000E1,7.500000000E-1,3.570000076E1,1.212509758E-1,1.500000000E0,2.000000000E0,2.300000000E1
1.168336861E2,6.506107459E1,2.546768080E1,8.514758694E0,2.600000000E1,6.699999571E-1,2.860000038E1,1.222001783E-1,2.000000000E0,3.000000000E0,2.300000000E1
1.178271581E2,6.506108059E1,2.546769521E1,8.514758023E0,2.600000000E1,4.099999964E-1,2.010000038E1,1.236909200E-1,2.000000000E0,3.000000000E0,2.200000000E1
1.188428535E2,6.506109383E1,2.546770016E1,7.514753524E0,2.500000000E1,1.159999967E0,2.829999924E1,1.246652500E-1,2.000000000E0,3.000000000E0,2.300000000E1
1.198285653E2,6.506109831E1,2.546771801E1,6.514753814E0,2.400000000E1,4.399999976E-1,2.620000076E1,1.252124679E-1,2.000000000E0,3.000000000E0,2.300000000E1
